I	4359	5194	138
I	5297	6036	138
I	6328	9726	138
I	9847	10094	138
I	11562	11617	104
I	11690	14950	138
I	15161	16472	138
I	17959	18005	138
I	18116	19014	138
I	19242	20270	138
I	20479	20847	138
I	20965	21012	138
I	21140	24650	138
I	24846	24928	138
I	25091	25272	138
I	25473	26370	138
I	26525	26589	138
I	26682	26732	68
I	28406	29099	138
I	29368	29768	138
I	30425	31768	138
I	32073	32411	138
I	32543	33036	138
I	43962	44029	138
I	44235	44280	138
I	44325	44371	138
I	44469	44520	138
I	47611	47695	138
I	47859	48347	138
I	48531	49250	138
I	50017	50814	138
I	51031	52282	138
I	52411	52465	138
I	52573	53265	138
I	53338	53390	138
I	53696	53943	138
I	55451	55889	138
I	56048	56123	138
I	56294	56536	138
I	56688	56871	138
I	57054	57256	138
I	57626	59044	138
I	60237	61235	138
I	62052	62773	138
I	62975	63796	138
I	63857	63903	138
I	63973	64017	69
I	71512	71846	138
I	71933	72510	138
I	72591	72646	138
I	72898	72940	138
I	73018	73604	138
I	73767	74624	138
I	74809	75170	138
I	75491	75950	138
I	76113	76948	138
I	77154	77712	138
I	77800	79312	138
I	79448	80305	49
I	81273	81884	128
I	81964	82015	138
I	82138	82585	138
I	82677	83180	138
I	83421	84189	138
I	84314	84387	138
I	84568	84613	138
I	84739	84835	138
I	84986	86823	138
I	85355	85440	138
I	85622	86096	138
I	86905	87033	138
I	87224	87519	138
I	87735	88267	138
I	88501	88565	138
I	88707	89371	138
I	89585	90418	138
I	91595	92522	138
I	93137	93181	138
I	93557	93608	138
I	94016	94063	138
I	94209	94268	138
I	94569	94621	138
I	94930	94975	138
I	95119	95236	122
I	96993	97599	138
I	97961	98294	138
I	99059	99628	138
I	99790	100138	138
I	100324	100394	138
I	100626	101504	138
I	101734	102447	138
I	103217	104439	138
I	104714	105435	138
I	105622	106015	138
I	106335	106688	138
I	106820	107355	138
I	107549	107595	138
I	109447	109491	138
I	109784	109834	138
I	109957	110004	75
I	111066	111160	26
I	111261	111509	138
I	111708	111754	138
I	111972	112018	138
I	112482	112526	138
I	112653	112699	138
I	112904	113238	138
I	113383	113425	138
I	113528	113595	138
I	113864	114084	80
I	114424	114543	138
